param_a,param_b,CV_num,tn,fp,fn,tp,file_name
3.0,4.0,0.0,36.0,12.0,5.0,17.0,exps_lab0_p0_conf_A_CV_0_rule_4_var_per_rule_6.ftt
3.0,4.0,1.0,40.0,7.0,4.0,18.0,exps_lab0_p0_conf_A_CV_0_rule_4_var_per_rule_4.ftt
3.0,6.0,0.0,41.0,7.0,8.0,14.0,exps_lab0_p0_conf_A_CV_1_rule_3_var_per_rule_6.ftt
3.0,6.0,1.0,38.0,9.0,4.0,18.0,exps_lab0_p0_conf_A_CV_1_rule_3_var_per_rule_4.ftt
4.0,4.0,0.0,43.0,5.0,10.0,12.0,exps_lab0_p0_conf_A_CV_0_rule_3_var_per_rule_4.ftt
4.0,4.0,1.0,46.0,1.0,6.0,16.0,exps_lab0_p0_conf_A_CV_0_rule_3_var_per_rule_6.ftt
4.0,6.0,0.0,39.0,9.0,6.0,16.0,exps_lab0_p0_conf_A_CV_1_rule_4_var_per_rule_4.ftt
4.0,6.0,1.0,37.0,10.0,3.0,19.0,exps_lab0_p0_conf_A_CV_1_rule_4_var_per_rule_6.ftt
