param_a,param_b,CV_num,tn,fp,fn,tp,file_name
15.0,3.0,6.0,19.0,2.0,0.0,17.0,exps_lab0_p1_conf_A_CV_1_rule_15_var_per_rule_3.ftt
15.0,3.0,7.0,19.0,2.0,2.0,15.0,exps_lab0_p1_conf_A_CV_7_rule_20_var_per_rule_2.ftt
15.0,3.0,8.0,29.0,1.0,1.0,7.0,exps_lab0_p1_conf_A_CV_0_rule_20_var_per_rule_2.ftt
15.0,3.0,9.0,22.0,0.0,3.0,13.0,exps_lab0_p1_conf_A_CV_1_rule_25_var_per_rule_5.ftt
15.0,2.0,0.0,23.0,2.0,0.0,14.0,exps_lab0_p1_conf_A_CV_6_rule_15_var_per_rule_3.ftt
15.0,2.0,1.0,21.0,2.0,1.0,14.0,exps_lab0_p1_conf_A_CV_1_rule_25_var_per_rule_4.ftt
15.0,2.0,2.0,25.0,1.0,0.0,12.0,exps_lab0_p1_conf_A_CV_6_rule_15_var_per_rule_2.ftt
15.0,2.0,3.0,21.0,1.0,0.0,16.0,exps_lab0_p1_conf_A_CV_0_rule_20_var_per_rule_3.ftt
15.0,2.0,4.0,21.0,1.0,6.0,10.0,exps_lab0_p1_conf_A_CV_7_rule_20_var_per_rule_5.ftt
15.0,2.0,5.0,26.0,1.0,1.0,10.0,exps_lab0_p1_conf_A_CV_6_rule_25_var_per_rule_2.ftt
15.0,2.0,6.0,20.0,1.0,1.0,16.0,exps_lab0_p1_conf_A_CV_1_rule_15_var_per_rule_4.ftt
15.0,2.0,7.0,21.0,0.0,0.0,17.0,exps_lab0_p1_conf_A_CV_6_rule_25_var_per_rule_3.ftt
15.0,2.0,8.0,29.0,1.0,2.0,6.0,exps_lab0_p1_conf_A_CV_1_rule_15_var_per_rule_5.ftt
15.0,2.0,9.0,22.0,0.0,3.0,13.0,exps_lab0_p1_conf_A_CV_7_rule_20_var_per_rule_4.ftt
